kind,pattern,phase,domain,model,lift,occurrences,doc_prevalence,cell_pass,bootstrap_ci_lo,bootstrap_ci_hi,replicated_pattern
cross_sentence,. the <X> is,discovery,abstracts,chatgpt,1.4984,23,0.2286,False,0.8,2.6738,True
cross_sentence,. the <X> is,discovery,abstracts,mistral-chat,1.6309,25,0.2429,True,0.863,2.8186,True
cross_sentence,. the <X> is,discovery,abstracts,mpt-chat,2.0675,20,0.2143,True,1.021,3.798,True
cross_sentence,. the <X> is,discovery,books,chatgpt,1.2251,7,0.0857,False,0.3452,2.9812,True
cross_sentence,. the <X> is,discovery,books,mistral-chat,2.2718,12,0.1429,True,0.9392,5.2164,True
cross_sentence,. the <X> is,discovery,books,mpt-chat,3.9487,13,0.1857,True,1.8894,8.1485,True
cross_sentence,. the <X> is,discovery,news,chatgpt,1.4165,17,0.1857,False,0.6417,2.8769,True
cross_sentence,. the <X> is,discovery,news,mistral-chat,2.6728,14,0.1429,True,1.2263,5.0631,True
cross_sentence,. the <X> is,discovery,news,mpt-chat,0.7323,2,0.0286,False,0.1249,2.029,True
cross_sentence,. the <X> is,discovery,recipes,chatgpt,0.3572,1,0.0143,False,0.066,2.4885,True
cross_sentence,. the <X> is,discovery,recipes,mistral-chat,0.175,0,0.0,False,0.0849,1.2062,True
cross_sentence,. the <X> is,discovery,recipes,mpt-chat,0.9701,2,0.0286,False,0.1363,6.6778,True
cross_sentence,. the <X> is,discovery,wiki,chatgpt,3.5223,13,0.1,True,0.8144,24.4428,True
cross_sentence,. the <X> is,discovery,wiki,mistral-chat,10.1776,23,0.1714,True,3.9385,57.4086,True
cross_sentence,. the <X> is,discovery,wiki,mpt-chat,7.9903,17,0.1571,True,2.6519,50.4857,True
cross_sentence,. the <X> is,validation,abstracts,gpt4,2.6925,29,0.3571,True,1.524,5.2019,True
cross_sentence,. the <X> is,validation,abstracts,llama-chat,1.0875,17,0.1714,False,0.4407,2.3362,True
cross_sentence,. the <X> is,validation,abstracts,cohere-chat,2.0678,29,0.2857,True,1.1644,4.0252,True
cross_sentence,. the <X> is,validation,books,gpt4,2.7616,27,0.3429,True,1.649,4.5429,True
cross_sentence,. the <X> is,validation,books,llama-chat,1.8341,19,0.2571,True,0.979,3.3476,True
cross_sentence,. the <X> is,validation,books,cohere-chat,1.6753,16,0.1714,True,0.7301,3.3229,True
cross_sentence,. the <X> is,validation,news,gpt4,1.9696,22,0.2286,True,1.0159,4.353,True
cross_sentence,. the <X> is,validation,news,llama-chat,2.153,18,0.2,True,1.0687,4.6529,True
cross_sentence,. the <X> is,validation,news,cohere-chat,0.301,1,0.0143,False,0.0639,1.0595,True
cross_sentence,. the <X> is,validation,recipes,gpt4,1.0009,0,0.0,False,0.9037,1.1032,True
cross_sentence,. the <X> is,validation,recipes,llama-chat,2.6177,1,0.0143,False,0.8137,6.398,True
cross_sentence,. the <X> is,validation,recipes,cohere-chat,5.6082,2,0.0286,False,1.0669,12.5255,True
cross_sentence,. the <X> is,validation,wiki,gpt4,4.1206,24,0.2,True,1.9833,12.7563,True
cross_sentence,. the <X> is,validation,wiki,llama-chat,4.254,20,0.1,True,1.0992,17.7057,True
cross_sentence,. the <X> is,validation,wiki,cohere-chat,2.5913,10,0.1,True,0.8135,9.647,True
cross_sentence,<X> . the <X> is,discovery,abstracts,chatgpt,1.4984,23,0.2286,False,0.7977,2.6639,True
cross_sentence,<X> . the <X> is,discovery,abstracts,mistral-chat,1.5669,24,0.2286,True,0.8252,2.7401,True
cross_sentence,<X> . the <X> is,discovery,abstracts,mpt-chat,2.0675,20,0.2143,True,1.0537,3.9065,True
cross_sentence,<X> . the <X> is,discovery,books,chatgpt,1.3832,7,0.0857,False,0.4137,3.7722,True
cross_sentence,<X> . the <X> is,discovery,books,mistral-chat,2.3598,11,0.1286,True,0.8937,5.6513,True
cross_sentence,<X> . the <X> is,discovery,books,mpt-chat,4.4583,13,0.1857,True,2.1536,9.6292,True
cross_sentence,<X> . the <X> is,discovery,news,chatgpt,1.5697,17,0.1857,True,0.697,3.1073,True
cross_sentence,<X> . the <X> is,discovery,news,mistral-chat,2.9618,14,0.1429,True,1.346,5.9138,True
cross_sentence,<X> . the <X> is,discovery,news,mpt-chat,0.8115,2,0.0286,False,0.1389,2.1379,True
cross_sentence,<X> . the <X> is,discovery,recipes,chatgpt,0.3572,1,0.0143,False,0.0642,2.4038,True
cross_sentence,<X> . the <X> is,discovery,recipes,mistral-chat,0.175,0,0.0,False,0.0859,1.1325,True
cross_sentence,<X> . the <X> is,discovery,recipes,mpt-chat,0.194,0,0.0,False,0.0903,1.3361,True
cross_sentence,<X> . the <X> is,discovery,wiki,chatgpt,3.5223,13,0.1,True,0.7599,24.2157,True
cross_sentence,<X> . the <X> is,discovery,wiki,mistral-chat,8.8783,20,0.1286,True,3.3398,50.4311,True
cross_sentence,<X> . the <X> is,discovery,wiki,mpt-chat,7.5337,16,0.1429,True,2.5643,46.3059,True
cross_sentence,<X> . the <X> is,validation,abstracts,gpt4,2.6925,29,0.3571,True,1.5417,5.5775,True
cross_sentence,<X> . the <X> is,validation,abstracts,llama-chat,1.0875,17,0.1714,False,0.4625,2.3036,True
cross_sentence,<X> . the <X> is,validation,abstracts,cohere-chat,2.0678,29,0.2857,True,1.2006,3.9706,True
cross_sentence,<X> . the <X> is,validation,books,gpt4,2.7616,27,0.3429,True,1.6702,4.6535,True
cross_sentence,<X> . the <X> is,validation,books,llama-chat,1.646,17,0.2286,True,0.8655,3.1517,True
cross_sentence,<X> . the <X> is,validation,books,cohere-chat,1.6753,16,0.1714,True,0.7806,3.3909,True
cross_sentence,<X> . the <X> is,validation,news,gpt4,1.9961,21,0.2286,True,1.0054,4.5095,True
cross_sentence,<X> . the <X> is,validation,news,llama-chat,2.16,17,0.1857,True,0.9971,4.6337,True
cross_sentence,<X> . the <X> is,validation,news,cohere-chat,0.3192,1,0.0143,False,0.0689,1.1478,True
cross_sentence,<X> . the <X> is,validation,recipes,gpt4,1.0009,0,0.0,False,0.9082,1.1025,True
cross_sentence,<X> . the <X> is,validation,recipes,llama-chat,2.6177,1,0.0143,False,0.813,6.4324,True
cross_sentence,<X> . the <X> is,validation,recipes,cohere-chat,5.6082,2,0.0286,False,1.0801,12.4272,True
cross_sentence,<X> . the <X> is,validation,wiki,gpt4,5.0817,23,0.1857,True,2.1538,25.1285,True
cross_sentence,<X> . the <X> is,validation,wiki,llama-chat,5.4694,20,0.1,True,1.1875,37.8962,True
cross_sentence,<X> . the <X> is,validation,wiki,cohere-chat,3.3317,10,0.1,True,0.9711,19.0944,True
cross_sentence,<X> . the <X> is <X>,discovery,abstracts,chatgpt,1.5166,18,0.1857,True,,,False
cross_sentence,<X> . the <X> is <X>,discovery,abstracts,mistral-chat,1.9324,23,0.2143,True,,,False
cross_sentence,<X> . the <X> is <X>,discovery,abstracts,mpt-chat,2.1396,16,0.1714,True,,,False
cross_sentence,<X> . the <X> is <X>,discovery,books,chatgpt,0.87,3,0.0429,False,,,False
cross_sentence,<X> . the <X> is <X>,discovery,books,mistral-chat,2.6274,9,0.1,False,,,False
cross_sentence,<X> . the <X> is <X>,discovery,books,mpt-chat,2.4481,5,0.0714,False,,,False
cross_sentence,<X> . the <X> is <X>,discovery,news,chatgpt,1.6594,13,0.1429,True,,,False
cross_sentence,<X> . the <X> is <X>,discovery,news,mistral-chat,3.7788,13,0.1429,True,,,False
cross_sentence,<X> . the <X> is <X>,discovery,news,mpt-chat,1.112,2,0.0286,False,,,False
cross_sentence,<X> . the <X> is <X>,discovery,recipes,chatgpt,0.1667,0,0.0,False,,,False
cross_sentence,<X> . the <X> is <X>,discovery,recipes,mistral-chat,0.245,0,0.0,False,,,False
cross_sentence,<X> . the <X> is <X>,discovery,recipes,mpt-chat,0.2716,0,0.0,False,,,False
cross_sentence,<X> . the <X> is <X>,discovery,wiki,chatgpt,5.0007,11,0.0857,False,,,False
cross_sentence,<X> . the <X> is <X>,discovery,wiki,mistral-chat,9.0227,12,0.1143,True,,,False
cross_sentence,<X> . the <X> is <X>,discovery,wiki,mpt-chat,11.7952,15,0.1429,True,,,False
cross_sentence,<X> . the <X> is <X>,validation,abstracts,gpt4,3.4028,24,0.2857,True,,,False
cross_sentence,<X> . the <X> is <X>,validation,abstracts,llama-chat,1.182,12,0.1143,False,,,False
cross_sentence,<X> . the <X> is <X>,validation,abstracts,cohere-chat,2.9333,27,0.2714,True,,,False
cross_sentence,<X> . the <X> is <X>,validation,books,gpt4,1.7665,13,0.1714,True,,,False
cross_sentence,<X> . the <X> is <X>,validation,books,llama-chat,1.4095,11,0.1571,False,,,False
cross_sentence,<X> . the <X> is <X>,validation,books,cohere-chat,1.5215,11,0.1143,True,,,False
